GRUPO;NOMBRE GIRA;AÑO;MES;MERCADO;PAÍS;CIUDAD;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
aespa;"2nd Live Tour ""Synk: Parallel Line""";2024;8;Sudeste asiático;Indonesia;Yakarta;Beach City International Stadium;15000;85;195
I-DLE;I-DOL;2024;8;China;China;Hong Kong;Asia World Expo Arena;14000;90;245
I-DLE;I-DOL;2024;8;China;China;Hong Kong;Asia World Expo Arena;14000;90;245
I-DLE;I-DOL;2024;8;China;China;Hong Kong;Asia World Expo Arena;14000;90;245
I-DLE;I-DOL;2024;9;Estados Unidos;Estados Unidos;Tacoma;Tacoma Dome;23000;65;405
I-DLE;I-DOL;2024;10;China;Taiwán;Taipéi;Taipei Arena;10000;90;220
I-DLE;I-DOL;2024;10;Sudeste asiático;Tailandia;Bangkok;Impact Arena;11000;80;190
I-DLE;I-DOL;2024;10;China;China;Macao;Galaxy Arena;18000;60;235
I-DLE;I-DOL;2024;10;China;China;Macao;Galaxy Arena;18000;60;235
I-DLE;I-DOL;2024;10;China;China;Macao;Galaxy Arena;18000;60;235
I-DLE;I-DOL;2024;10;Oceanía;Australia;Melbourne;Rod Laver Arena;15000;450;592
I-DLE;I-DOL;2024;11;Oceanía;Australia;Sídney;Qudos Bank Arena;21000;115;500
Super Junior;Super Show Spin-Off: Halftime;2024;7;Sudeste asiático;Tailandia;Bangkok;Impact Challenger Hall 1;20000;69;180
Super Junior;Super Show Spin-Off: Halftime;2024;7;Sudeste asiático;Singapur;Singapur;Singapore Indoor Stadium;12000;154;258
Super Junior;Super Show Spin-Off: Halftime;2024;9;China;China;Hong Kong;Asia World Arena;14000;113;241
