GRUPO,NOMBRE GIRA,AÑO,MES,MERCADO,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA
BTS,"BTS World Tour ""Love Yourself""",2018,10,Europa ,Países Bajos ,Ámsterdam ,Ziggo Dome ,17000, $76.03 , $299.52 
BTS,"BTS World Tour ""Love Yourself""",2018,10,Europa ,Alemania ,Berlín ,Mercedes Benz Arena ,71000, $84.27 , $335.98 
BTS,"BTS World Tour ""Love Yourself""",2018,10,Europa ,Francia ,París,Accors Hotels Arena ,20300, $77.76 , $318.50 
BTS,"BTS World Tour ""Love Yourself""",2018,11,Japón ,Japón,Tokio,Tokyo Dome ,55000, $80.58 , $84.42 
BTS,"BTS World Tour ""Love Yourself""",2018,11,Japón ,Japón,Osaka ,Kyocera Dome ,55000, $80.58 , $84.42 
BTS,"BTS World Tour ""Love Yourself""",2018,12,China,Taiwán,Taoyuan,Taoyuan International Baseball Stadium,20000, $24.66 , $240.41 
BTS,"BTS World Tour ""Love Yourself""",2018,1,Japón ,Japón,Nagoya ,Nagoya Dome,49000, $80.58 , $84.42 
TWICE,TWICELAND Zone 2: Fantasy Park,2018,5,Japón ,Japón,Saitama,Saitama Super Arena,37000, $90.73 , $160.52 
TWICE,TWICELAND Zone 2: Fantasy Park,2018,6,Sudeste Asiático,Singapur ,Singapur,Singapore Indoor Stadium,12000, $127.66 , $218.84 
Stray Kids,DominATE Tour,2024,12,Japón,Japón,Osaka,Kyocera Dome,36418, Sin datos , Sin datos 
Stray Kids,DominATE Tour,2024,12,Japón,Japón,Osaka,Kyocera Dome,36418, Sin datos , Sin datos 
Stray Kids,DominATE Tour,2024,12,Japón,Japón,Osaka,Kyocera Dome,36418, Sin datos , Sin datos 
TWICE,TWICELAND Zone 2: Fantasy Park,2018,8,Sudeste Asiático,Tailandia,Bangkok,Thunder Dome,15000, $59.57 , $172.75 
TWICE,TWICELAND Zone 2: Fantasy Park,2018,8,Sudeste Asiático,Indonesia,Yakarta,Indonesia Convention Exhibition ,10000, $94.99 , $130.61 
TWICE,Music Bank In Chile,2018,3,América Latina,Chile,Santiago,Movistar Arena,16522, $85.41 , $183.02 
SEVENTEEN,"SEVENTEEN Concert ""Ideal Cut""",2018,6,Corea del Sur,Corea del Sur,Seúl,Jamsil Indoor Stadium,11069, $69.36 , $77.06 
SEVENTEEN,"SEVENTEEN Concert ""Ideal Cut""",2018,7,Corea del Sur,Corea del Sur,Seúl,Jamsil Indoor Stadium,11069, $69.36 , $77.06 
SEVENTEEN,"SEVENTEEN Concert ""Ideal Cut""",2018,8,China,China ,Hong Kong,Asia World Expo Arena,12500, $61.86 , $255.16 
SEVENTEEN,"SEVENTEEN Concert ""Ideal Cut""",2018,9,Sudeste Asiático,Indonesia,Yakarta,Ice Hall 3A,3000, $59.34 , $142.41 
SEVENTEEN,"SEVENTEEN Concert ""Ideal Cut""",2018,9,Sudeste Asiático,Singapur,Singapur,Singapour Indoor Stadium,12000, $74.42 , $218.70 
SEVENTEEN,"SEVENTEEN Concert ""Ideal Cut""",2018,9,Sudeste Asiático,Malasia,Kuala Lumpur,Mines International Exhibition & Convention Centre,10000, $22.32 , $111.17 
SEVENTEEN,"SEVENTEEN Concert ""Ideal Cut""",2018,10,Sudeste Asiático,Filipinas,Manila ,Mall of Asia Arena,20000, $26.52 , $221.01 
