GRUPO ;EMPRESA ;AÑO DEBUT;AÑO FIN;GÉNERO;N° MIEMBROS;Chile (SI/NO);OYENTES SPOTIFY;
Sunny Play;Two-H Company;2017;2018;Mujeres;9;0;Sin datos;
Good Day;C9 Entertainment;2017;2019;Mujeres;10;0;Sin datos;
LipBubble;Zenith Media Contents;2017;2019;Mujeres;7;0;Sin datos;
Midnight;C9 Entertainment;2017;2019;Mujeres;3;0;Sin datos;
Pristin;Pledis Entertainment;2017;2019;Mujeres;10;0;Sin datos;
SHA SHA;Major Entertainment;2017;2019;Mujeres;6;0;Sin datos;
Bonus Baby;Maroo Entertainment;2017;2020;Mujeres;6;0;Sin datos;
Limesoda;DMaker Entertainment;2017;2020;Mujeres;3;0;Sin datos;
ABRY;Weed HS;2017; presente;Mujeres;3;0;Sin datos;
Alice;Hunus Entertainment;2017;2024;Mujeres;7;0;Sin datos;
Favorite;Astory Entertainment;2017; presente;Mujeres;6;0;Sin datos;
Good Night;C9 Entertainment;2017; presente;Mujeres;2;0;Sin datos;
HASHTAG;Luk Factory;2017; presente;Mujeres;7;0;Sin datos;
LOONA Odd Eye Circle;MODHAUS;2017; presente;Mujeres;3;0;Sin datos;
Soda Bomb;Pace Maker Entertainment;2017; presente;Mujeres;2;0;Sin datos;
Weki Meki;Fantagio Entertainment;2017; presente;Mujeres;8;0;Sin datos;
BOB4;In Entertainment;2012;2012;Hombres;4;0;Sin datos;
Mr.Slam;Kkun Entertainment;2012;2012;Hombres;5;0;Sin datos;
4 Heaven;Bridge Entertainment;2012;2013;Hombres;4;0;Sin datos;
Attack;A Entertainment;2012;2013;Hombres;5;0;Sin datos;
CHAOS;Winning InSight;2012;2013;Hombres;5;0;Sin datos;
K-Boys;NSB Korea Entertainment;2012;2013;Hombres;5;0;Sin datos;
7.9.4.2;Contents Storage Company;2012;2014;Hombres;5;0;Sin datos;
E7;Excellent Entertainment;2012;2014;Hombres;7;0;Sin datos;
EXO-K;S.M. Entertainment;2012;2014;Hombres;6;1;3.918.143;
F.I.X;The Groove Entertainment;2012;2014;Hombres;3;0;Sin datos;
Wonder Boyz;ENT102;2012;2014;Hombres;4;0;Sin datos;
A-Prince;New Planet Entertainment;2012;2015;Hombres;5;0;Sin datos;
Airplane;Winning InSight;2012;2015;Hombres;3;0;Sin datos;
C-Clown;Sony Music Korea Entertainment;2012;2015;Hombres;6;0;Sin datos;
New-Us;Star Cubic Entertainment;2012;2015;Hombres;4;0;Sin datos;
SPEED;MBK Entertainment;2012;2015;Hombres;6;0;Sin datos;
Excite;150 Entertainment;2012;2016;Hombres;4;0;Sin datos;
Lunafly;Nega Network;2012;2017;Hombres;3;;Sin datos;
S.M. The Performance;S.M. Entertainment;2012;2017;Hombres;8;0;Sin datos;
Offroad;SHow Entertainment;2012;2018;Hombres;5;0;Sin datos;
A-JAX;DSP Media;2012;2019;Hombres;7;0;Sin datos;
B.A.P;TS Entertainment;2012;2019;Hombres;6;0;Sin datos;
BIGSTAR;Brave Entertainment;2012;2019;Hombres;5;0;Sin datos;
100%;TOP Media;2012;2021;Hombres;7;0;Sin datos;
NU'EST;Pledis Entertainment;2012;2022;Hombres;5;0;Sin datos;
24K;Choeun Entertainment;2012; presente;Hombres;5;0;Sin datos;
2BiC;Nextar Entertainment;2012; presente;Hombres;2;;Sin datos;
4K[n 15]​;Choeun Entertainment;2012; presente;Hombres;3;0;Sin datos;
A.cian;Wings Entertainment;2012; presente;Hombres;4;0;Sin datos;
BtoB;Cube Entertainment;2012; presente;Hombres;7;0;Sin datos;
Cross Gene;Amuse Korea Inc.;2012; presente;Hombres;4;0;Sin datos;
G.IAM;Red Apple Entertainment;2012;" 2014; 2018 ";Hombres;4;0;Sin datos;
Hanch Brothers (ex TASTY);Xiong Wei Entertainment;2012; presente;Hombres;2;0;Sin datos;
JJ Project;JYP Entertainment;2012; presente;Hombres;2;0;Sin datos;
M-Tiful;LOEN Entertainment;2012; presente;Hombres;2;0;Sin datos;
Mr.Mr;E-HO Entertainment;2012; presente;Hombres;5;0;Sin datos;
TimeZ;SuperJet Entertainment;2012; presente;Hombres;6;0;Sin datos;
Toxic;TNC Company;2012; presente;Hombres;2;0;Sin datos;
VIXX;Jellyfish Entertainment;2012; presente;Hombres;6;1;264.687;
B.O.i;M.fel Entertainment;2013;2013;Hombres;5;;Sin datos;
CollaVoice;GF Entertainment;2013;2013;Hombres;4;0;Sin datos;
ESQ;Avance Entertainment;2013;2013;Hombres;5;0;Sin datos;
Got2B;SW Entertainment;2013;2013;Hombres;4;0;Sin datos;
Iconize;Nekki Entertainment;2013;2013;Hombres;5;0;Sin datos;
Jackpot;TS Entertainment;2013;2013;Hombres;9;0;Sin datos;
Jungukgu;Cube Entertainment;2013;2013;Hombres;4;0;Sin datos;
MAIN;Wave On Entertainment;2013;2013;Hombres;;0;Sin datos;
Never Mind;Toeast Music;2013;2013;Hombres;4;0;Sin datos;
PURE;Pure Entertainment;2013;2013;Hombres;5;0;Sin datos;
Victor;On Spot Entertainment Korea;2013;2013;Hombres;5;0;Sin datos;
ZE:A FIVE;Star Empire Entertainment;2013;2013;Hombres;5;0;Sin datos;
