GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
TWICE;"Showcase Live Tour ""Candy Pop"" ";2018;1;Japón;Saitama;Sonic City;2505;Sin datos;Sin datos
TWICE;Music Bank In Chile;2018;3;Chile;Santiago;Movistar Arena;16522;85,41 USD;183,02 USD
TWICE;"Showcase Live Tour ""Candy Pop"" ";2018;2;Japón;Saitama;Sonic City;2505;Sin datos;Sin datos
TWICE;"TWICE Arena Tour ""BDZ""";2018;9;Japón;Chiba;Makuhari Messe Event Hall;9000;68,47 USD;"""N/A"""
TWICE;"TWICE Arena Tour ""BDZ""";2018;10;Japón;Nagoya;Nippon Gaishi Hall;10000;68,47 USD;"""N/A"""
TWICE;"TWICE Arena Tour ""BDZ""";2018;10;Japón;Kobe;Kobe World Memorial Hall;8000;68,47 USD;"""N/A"""
TWICE;"TWICE Arena Tour ""BDZ""";2018;10;Japón;Tokio;Musashino Forest Sports Plaza;10000;68,47 USD;"""N/A"""
TWICE;"Dome Tour ""Dreamday"" ";2019;3;Japón;Osaka;Kyocera Dome;55000;Sin datos;Sin datos
TWICE;"Dome Tour ""Dreamday"" ";2019;3;Japón;Tokio;Tokyo Dome;55000;Sin datos;Sin datos
TWICE;"Dome Tour ""Dreamday"" ";2019;4;Japón;Nagoya;Nagoya Dome;49000;Sin datos;Sin datos
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;5;Corea del Sur;Seúl;KSPO Dome;15000;Sin datos;Sin datos
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;6;Tailandia;Bangkok;Impact Arena;12000;83,38 USD;175,70 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;6;Filipinas;Manila;Mall Of Asia Arena;20000;26,53 USD;221,07 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;7;Singapur ;Singapur;Singapore Indoor Stadium;12000;127,63 USD;218,80 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;7;Estados Unidos;Los Ángeles;The Forum;17505;49,50 USD;199,50 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;7;México;Ciudad de México;Palacio De Los Deportes;17800;53,24 USD;278,92 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;7;Estados Unidos;Newark;Prudential Center;16755;49,50 USD;199,50 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;7;Estados Unidos;Chicago;Wintrust Arena;10387;49,50 USD;199,50 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;8;Malasia;Kuala Lumpur;Axiata Arena;16000;88,39 USD;179,51 USD
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;10;Japón;Hokkaido;Mokomanai Sekisui Heim Ice Arena;10024;69,70 USD;"""N/A"""
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;10;Japón;Chiba;Makuhari Messe International Exhibition Hall;9000;69,70 USD;"""N/A"""
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;11;Japón;Osaka;Osaka Castle Hall;16000;69,70 USD;"""N/A"""
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;11;Japón;Miyagi;Miyagi Sekisui Heim Super Arena;7063;69,70 USD;"""N/A"""
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;11;Japón;Aichi;Port Messe Nagoya Hall 3;12000;69,70 USD;"""N/A"""
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2019;12;Japón;Aichi;Port Messe Nagoya Hall 3;12000;69,70 USD;"""N/A"""
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2020;2;Japón;Fukuoka;Marine Messe Fukuoka;15000;69,70 USD;"""N/A"""
TWICE;"TWICE 3th World Tour ""TWICELIGHTS""";2020;2;Japón;Shizuoka;Shizuoka Ecopa Arena;10000;69,70 USD;"""N/A"""
